Latitude,Longitude
47.477984,-122.2735469
47.477984,-122.2868488
47.477984,-122.3001506
47.477984,-122.3134525
47.477984,-122.3267544
47.477984,-122.3400563
47.477984,-122.3533582
47.477984,-122.36666
47.477984,-122.3799619
47.477984,-122.3932638
47.477984,-122.4065657
47.477984,-122.4198676
47.477984,-122.4331694
47.477984,-122.4464713
47.477984,-122.4597732
47.477984,-122.4730751
47.48697439,-122.2735492
47.48697439,-122.2868533
47.48697439,-122.3001575
47.48697439,-122.3134616
47.48697439,-122.3267658
47.48697439,-122.3400699
47.48697439,-122.3533741
47.48697439,-122.3666783
47.48697439,-122.3799824
47.48697439,-122.3932866
47.48697439,-122.4065907
47.48697439,-122.4198949
47.48697439,-122.433199
47.48697439,-122.4465032
47.48697439,-122.4598074
47.48697439,-122.4731115
47.49596478,-122.2735514
47.49596478,-122.2868579
47.49596478,-122.3001643
47.49596478,-122.3134707
47.49596478,-122.3267772
47.49596478,-122.3400836
47.49596478,-122.35339
47.49596478,-122.3666965
47.49596478,-122.3800029
47.49596478,-122.3933093
47.49596478,-122.4066158
47.49596478,-122.4199222
47.49596478,-122.4332286
47.49596478,-122.4465351
47.49596478,-122.4598415
47.49596478,-122.473148
47.50495516,-122.2735537
47.50495516,-122.2868624
47.50495516,-122.3001711
47.50495516,-122.3134799
47.50495516,-122.3267886
47.50495516,-122.3400973
47.50495516,-122.353406
47.50495516,-122.3667147
47.50495516,-122.3800234
47.50495516,-122.3933321
47.50495516,-122.4066408
47.50495516,-122.4199496
47.50495516,-122.4332583
47.50495516,-122.446567
47.50495516,-122.4598757
47.50495516,-122.4731844
47.51394555,-122.273556
47.51394555,-122.286867
47.51394555,-122.300178
47.51394555,-122.313489
47.51394555,-122.3268
47.51394555,-122.340111
47.51394555,-122.353422
47.51394555,-122.3667329
47.51394555,-122.3800439
47.51394555,-122.3933549
47.51394555,-122.4066659
47.51394555,-122.4199769
47.51394555,-122.4332879
47.51394555,-122.4465989
47.51394555,-122.4599099
47.51394555,-122.4732209
47.52293594,-122.2735583
47.52293594,-122.2868715
47.52293594,-122.3001848
47.52293594,-122.3134981
47.52293594,-122.3268114
47.52293594,-122.3401246
47.52293594,-122.3534379
47.52293594,-122.3667512
47.52293594,-122.3800645
47.52293594,-122.3933777
47.52293594,-122.406691
47.52293594,-122.4200043
47.52293594,-122.4333176
47.52293594,-122.4466308
47.52293594,-122.4599441
47.52293594,-122.4732574
47.53192633,-122.2735606
47.53192633,-122.2868761
47.53192633,-122.3001917
47.53192633,-122.3135072
47.53192633,-122.3268228
47.53192633,-122.3401383
47.53192633,-122.3534539
47.53192633,-122.3667695
47.53192633,-122.380085
47.53192633,-122.3934006
47.53192633,-122.4067161
47.53192633,-122.4200317
47.53192633,-122.4333472
47.53192633,-122.4466628
47.53192633,-122.4599783
47.53192633,-122.4732939
47.54091671,-122.2735628
47.54091671,-122.2868807
47.54091671,-122.3001985
47.54091671,-122.3135164
47.54091671,-122.3268342
47.54091671,-122.340152
47.54091671,-122.3534699
47.54091671,-122.3667877
47.54091671,-122.3801056
47.54091671,-122.3934234
47.54091671,-122.4067412
47.54091671,-122.4200591
47.54091671,-122.4333769
47.54091671,-122.4466948
47.54091671,-122.4600126
47.54091671,-122.4733304
47.5499071,-122.2735651
47.5499071,-122.2868852
47.5499071,-122.3002054
47.5499071,-122.3135255
47.5499071,-122.3268456
47.5499071,-122.3401657
47.5499071,-122.3534859
47.5499071,-122.366806
47.5499071,-122.3801261
47.5499071,-122.3934462
47.5499071,-122.4067664
47.5499071,-122.4200865
47.5499071,-122.4334066
47.5499071,-122.4467267
47.5499071,-122.4600469
47.5499071,-122.473367
47.55889749,-122.2735674
47.55889749,-122.2868898
47.55889749,-122.3002122
47.55889749,-122.3135346
47.55889749,-122.326857
47.55889749,-122.3401795
47.55889749,-122.3535019
47.55889749,-122.3668243
47.55889749,-122.3801467
47.55889749,-122.3934691
47.55889749,-122.4067915
47.55889749,-122.4201139
47.55889749,-122.4334363
47.55889749,-122.4467587
47.55889749,-122.4600811
47.55889749,-122.4734036
47.56788788,-122.2735697
47.56788788,-122.2868944
47.56788788,-122.3002191
47.56788788,-122.3135438
47.56788788,-122.3268685
47.56788788,-122.3401932
47.56788788,-122.3535179
47.56788788,-122.3668426
47.56788788,-122.3801673
47.56788788,-122.393492
47.56788788,-122.4068167
47.56788788,-122.4201414
47.56788788,-122.4334661
47.56788788,-122.4467907
47.56788788,-122.4601154
47.56788788,-122.4734401
47.57687827,-122.273572
47.57687827,-122.286899
47.57687827,-122.300226
47.57687827,-122.3135529
47.57687827,-122.3268799
47.57687827,-122.3402069
47.57687827,-122.3535339
47.57687827,-122.3668609
47.57687827,-122.3801879
47.57687827,-122.3935148
47.57687827,-122.4068418
47.57687827,-122.4201688
47.57687827,-122.4334958
47.57687827,-122.4468228
47.57687827,-122.4601498
47.57687827,-122.4734767
47.58586865,-122.2735743
47.58586865,-122.2869035
47.58586865,-122.3002328
47.58586865,-122.3135621
47.58586865,-122.3268914
47.58586865,-122.3402206
47.58586865,-122.3535499
47.58586865,-122.3668792
47.58586865,-122.3802085
47.58586865,-122.3935377
47.58586865,-122.406867
47.58586865,-122.4201963
47.58586865,-122.4335255
47.58586865,-122.4468548
47.58586865,-122.4601841
47.58586865,-122.4735134
47.59485904,-122.2735766
47.59485904,-122.2869081
47.59485904,-122.3002397
47.59485904,-122.3135713
47.59485904,-122.3269028
47.59485904,-122.3402344
47.59485904,-122.3535659
47.59485904,-122.3668975
47.59485904,-122.3802291
