GEOID,Census_Name,Census_Tract,Latitude,Longitude,Median_Household_Income,MHI_Error,Per_Capita_Income,Gini_Index_Of_Inequality,Total_Population
53033006200,"Census Tract 62, King, WA",62,47.63827,-122.30169,131429,7671,68672,0.4231,4063
53033006300,"Census Tract 63, King, WA",63,47.63347,-122.28203,132000,33212,109832,0.5596,4988
53033006400,"Census Tract 64, King, WA",64,47.62901,-122.30495,154868,18436,82772,0.433,3341
53033006500,"Census Tract 65, King, WA",65,47.62832,-122.31688,98617,14100,91366,0.5257,4449
53033006600,"Census Tract 66, King, WA",66,47.63121,-122.32744,82154,14370,62704,0.4158,3585
53033006700,"Census Tract 67, King, WA",67,47.63161,-122.34417,88719,11259,59825,0.3574,7600
53033006800,"Census Tract 68, King, WA",68,47.63601,-122.35713,98750,21794,65247,0.4898,3206
53033006900,"Census Tract 69, King, WA",69,47.63468,-122.36701,100172,18632,62809,0.4818,4727
53033007000,"Census Tract 70, King, WA",70,47.62826,-122.35653,67572,13612,70955,0.512,7503
53033007100,"Census Tract 71, King, WA",71,47.6212,-122.35705,74143,6457,61331,0.4288,3780
53033007200,"Census Tract 72, King, WA",72,47.61889,-122.34263,74559,15210,63598,0.4549,6798
53033007300,"Census Tract 73, King, WA",73,47.62051,-122.33353,76582,24664,66979,0.5035,5594
53033007401,"Census Tract 74.01, King, WA",74.01,47.623,-122.32486,67834,10408,59273,0.4326,5019
53033007402,"Census Tract 74.02, King, WA",74.02,47.61854,-122.32452,41842,12239,43928,0.4576,5210
53033007500,"Census Tract 75, King, WA",75,47.61866,-122.31679,63419,7647,48262,0.4182,7783
53033007600,"Census Tract 76, King, WA",76,47.62207,-122.30744,68199,9540,49002,0.4109,3871
53033007700,"Census Tract 77, King, WA",77,47.61877,-122.29722,104632,12986,58374,0.4121,5123
53033007800,"Census Tract 78, King, WA",78,47.61287,-122.28452,137358,28368,80452,0.5248,5641
53033007900,"Census Tract 79, King, WA",79,47.61356,-122.3077,57786,13106,45158,0.5239,6216
53033008001,"Census Tract 80.01, King, WA",80.01,47.61663,-122.35379,88068,6675,66683,0.4362,5967
53033008002,"Census Tract 80.02, King, WA",80.02,47.61194,-122.34649,37466,10562,45619,0.585,3469
53033008100,"Census Tract 81, King, WA",81,47.60627,-122.33705,75531,12772,57988,0.5292,4435
53033008200,"Census Tract 82, King, WA",82,47.61015,-122.33199,56318,13566,56586,0.5317,3866
53033008300,"Census Tract 83, King, WA",83,47.61166,-122.32744,49291,2646,50370,0.4599,2794
